id,label,type_colour
386,(((Zoe Williams))),2
387,Kate McCann,0
388,Gaby Hinsliff,0
389,Richard Corbett,0
390,Camilla Long,2
391,Shelagh Fogarty,2
392,Dan Jarvis,2
393,Nicholas Soames,2
394,LabourList,2
395,Christopher Hope📝,1
396,Channel 4 Dispatches,2
397,Nicholas Watt,1
398,James Ball,2
399,Theo Usherwood,2
400,Chris Williamson #GTTO,2
401,Ben Bradshaw,2
402,Paul Lewis,2
403,John Crace,2
404,Ian Lavery MP,2
405,Hugh Pym,0
406,Tom Fletcher,2
407,Tanni Grey-Thompson,2
408,Chris Ship,1
409,Seb Dance MEP 🌹🇪🇺,2
410,Neal Mann,2
411,Tom Peck,2
412,Coffee House,0
413,Left Foot Forward,2
414,Richard Tice,2
415,Jessica Elgot,2
416,Nadine Dorries 🇬🇧,2
417,Danny Blanchflower,2
418,Matt Chorley,1
419,Vote Leave,2
420,Orla Guerin,0
421,Department for Exiting the EU,0
422,Tom Harwood,2
423,Nick Boles,0
424,Bryony Gordon,0
425,Sophy Ridge on Sunday,2
426,Matt Forde,2
427,Chris Bryant,2
428,Jonathan Portes,2
429,Peter Hunt,2
430,Lucy Kellaway,0
431,Wes Streeting MP,2
432,Janice Turner,2
433,Jon Swaine,2
434,Peter Foster,2
435,Lindsey Hilsum,2
436,Michael Deacon,2
437,UNISON - UK's largest union,0
438,Rachel Johnson,2
439,John Harris,0
440,Peston,2
441,Gavin Williamson,2
442,Ayesha Hazarika,2
443,Michael Heaver MEP,2
444,Sathnam Sanghera,2
445,Adam Wagner,2
446,Ellie Mae O'Hagan 🏴󠁧󠁢󠁷󠁬󠁳󠁿,0
447,BBC Parliament,2
448,Matt Ridley,0
449,Telegraph Politics,2
450,Allegra Stratton,1
451,MichaelWhite,1
452,Dr Rosena Allin-Khan,2
453,Lib Dem Press Office,2
454,Kate Andrews,2
455,Paul Blanchard,2
456,Iain Macwhirter,2
457,Annunziata Rees-Mogg,2
458,Tanmanjeet Singh Dhesi MP,2
459,Samira Ahmed,2
460,James Chapman,1
461,Josh Halliday,2
462,Layla Moran 🔶 🏳️‍🌈,2
463,Gloria De Piero,2
464,Mark Kleinman,2
465,Gordon & Sarah Brown,0
466,HuffPost UK Politics,2
467,Andrea Jenkyns MP,2
468,Philip Collins,0
469,James Delingpole QC,2
470,Electoral Reform Society,2
471,Owen Gibson,2
472,Esther McVey,0
473,Matt Frei,2
474,Adam Smith Institute,0
475,Sam Gyimah,0
476,Patrick O'Flynn,1
477,James Cook,0
478,Brandon Lewis MP,2
479,Anushka Asthana,0
480,Janine Gibson,2
481,Mark Wallace,0
482,The Fabian Society,2
483,Lucy Powell MP,2
484,Richard Murphy,0
485,FT Brussels,0
486,Matthew d'Ancona,2
487,Tim Stanley,0
488,Jon Williams,0
489,Chris Leslie,2
490,steve richards,1
491,Institute for Gov,2
492,Ipsos MORI,2
493,"Daniel Boffey
",1
494,"Robin Brant
",1
495,"George Parker
",1
496,"Mohammed Abbas
",1
497,"Sam Macrory
",1
498,"Tony Grew
",1
499,"Tim Ross
",1
500,"Ainsley Thomson
",1
501,"James Tapsfield
",1
502,"Kate Devlin
",1
503,"Tom Moseley
",1
504,"Tim Castle
",1
505,"Craig Woodhouse
",1
506,"carolyn quinn
",1
507,"oliver wright
",1
508,"William Green
",1
509,"Robert Hutton
",1
510,"Ian Collins
",1
511,"Reeta Chakrabarti
",1
512,"Patrick Hennessy
",1
513,"Simon Mares
",1
514,"Simon Carr
",1
515,"Ben Duckworth
",1
516,"Nigel Nelson
",1
517,"james lyons
",1
518,"Vincent Moss
",1
519,"Joe Murphy
",1
520,"lucy manning
",1
521,"David Wooding
",1
522,"Andy Bell
",1
523,"Alex Forrest Whiting
",1
524,"Toby Helm
",1
525,"David Hencke
",1
526,"Allegra Stratton
",1
527,"David Maddox
",1
528,"Joe Churcher
",1
529,"Torcuil Crichton
",1
530,"John Higginson
",1
531,"Emily Ashton
",1
532,"Rowena Mason
",1
533,"Rob Merrick
",1
534,"Andrew Woodcock
",1
535,"James Kirkup
",1
536,"Joe Watts
",1
537,"Kiran Stacey
",1
538,"Tom McTague
",1
539,"Michael Savage
",1
540,"Jon Craig
",1
541,"David Stringer
",1
542,"Chris Wimpress
",1
543,"David Crow
",1
